"Year","January","February","March","April","May","June","July","August","September","October","November","December"
1750,-0.847,-1.326,-0.05,-0.397,-1.777,-1.265,-0.396,-0.044,-1.231,-2.296,-4.612,-3.305
1751,-1.795,-3.191,-0.035,-1.536,-1.153,-1.642,0.756,-0.514,-1.496,-2.877,-3.213,-2.215
1752,-3.562,1.691,-0.041,-1.657,-0.334,-0.068,0.569,-1.187,-1.349,-1.51,-0.199,-1.303
1753,-1.171,-1.759,0.484,-1.195,-0.384,-0.699,-0.588,-1.561,-1.685,-0.734,-1.419,-4.279
1754,-0.97,-3.249,-1.658,2.886,0.206,-0.359,-0.247,-1.936,-2.058,-0.152,-0.568,-0.518
1755,-1.399,-2.69,-2.003,-0.066,-0.079,0.345,0.267,-1.618,-1.609,-0.673,-1.268,-2.467
1756,0.357,2.371,-0.877,0.87,0.638,-0.075,-0.651,-1.699,-0.987,-1.435,-2.371,-3.341
1757,-3.017,0.788,-1.079,-0.368,0.275,2.025,1.735,1.905,0.868,-3.931,-2.278,-3.364
1758,-4.945,-3.155,-1.976,-1.735,-2.881,-1.322,-1.61,-3.368,-2.819,-3.47,-1.2,-2.078
1759,0.96,0.716,-1.151,-2.514,-2.408,-0.565,-2.647,-0.651,-1.173,-2.088,-3.028,-5.699
1760,-4.916,-0.684,-3.677,-2.18,-1.927,-2.338,-2.814,-2.042,-2.462,-2.869,-1.408,-3.294
1761,-3.046,-1.494,0.183,-1.498,0.784,2.228,3.15,-0.76,-0.717,-3.409,-1.353,-6.171
1762,2.394,0.979,-2.167,-0.398,-1.709,-1.397,-1.62,-0.761,-2.491,-3.252,-0.277,-2.056
1763,-3.11,-2.838,-4.352,-2.007,-2.075,-2.294,1.05,-1.435,-1.72,-3.32,-2.213,-1.196
1764,-1.873,1.981,-1.176,-1.455,-1.264,-3.047,-1.859,-1.868,-1.827,0.609,-0.67,1.386
1765,0.626,-0.639,0.715,0.223,-1.236,-3.066,-0.984,-0.788,-1.361,-1.27,-0.388,-1.047
