"Year","January","February","March","April","May","June","July","August","September","October","November","December"
1750,4.137,3.059,2.279,2.11,1.337,3.872,2.045,3.736,1.416,1.745,1.98,3.81
1751,2.921,5.839,2.296,2.176,1.718,1.083,1.641,4.201,3.239,5.996,2.128,3.007
1752,2.903,3.835,2.176,1.557,1.866,1.416,1.712,1.473,1.546,1.619,2.114,2.382
1753,3.363,3.227,3.578,1.397,1.352,2.09,1.935,2.822,2.795,2.317,2.603,3.982
1754,3.535,3.286,4.485,2.312,2.796,3.069,1.658,2.576,3.059,2.041,2.613,2.314
1755,3.806,5.689,2.317,2.438,4.156,2.899,2.581,1.442,2.133,3.403,2.758,4.715
1756,3.472,4.228,4.06,2.629,2.855,1.553,1.967,4.256,2.173,2.33,2.362,2.425
1757,4.01,3.849,2.79,2.018,2.088,2.226,2.882,4.226,3.288,2.238,2.085,3.116
1758,3.738,4.643,2.829,3.827,2.953,1.535,1.548,2.329,1.413,2.378,3.523,3.076
1759,2.926,5.242,2.382,3.843,2.138,1.618,2.559,1.294,1.647,3.331,3.336,3.186
1760,3.638,2.92,2.743,2.312,2.954,1.465,2.714,2.32,3.214,3.574,2.248,5.173
1761,2.82,4.442,3.003,2.127,1.604,3.993,4.13,3.851,1.823,2.702,3.076,2.259
1762,4.842,3.009,2.395,4.766,2.024,2.2,3.149,3.115,4.068,2.18,4.924,3.233
1763,2.963,4.511,3.23,1.97,4.141,4.107,1.908,2.141,1.854,2.47,1.955,3.062
1764,3.456,2.817,2.557,3.789,1.952,2.28,3.489,1.398,2.592,1.532,2.308,2.878
1765,5.533,3.61,2.157,1.508,1.335,2.215,2.162,1.779,1.503,1.772,2.524,2.543
1766,3.94,3.286,2.696,2.32,2.124,3.874,2.257,2.011,1.884,1.704,3.093,3.024
1767,5.869,4.294,4.685,2.516,2.232,2.173,2.917,1.442,2.352,2.067,4.473,3.573
1768,3.615,4.12,3.297,1.451,2.024,1.181,1.522,1.601,1.547,2.145,3.211,4.655
1769,3.805,2.945,3.223,3.239,3.001,1.329,2.267,2.22,1.26,1.796,1.794,2.648
1770,3.69,3.196,2.244,4.399,1.216,2.406,3.936,2.689,1.734,1.906,3.655,2.389
1771,5.057,2.838,2.632,2.507,1.897,1.371,1.312,1.563,1.471,1.597,2.048,2.86
1772,5.071,6.468,2.542,2.244,1.249,3.573,2.696,2.115,1.872,1.773,3.709,3.162
1773,3.115,2.897,1.971,2.295,1.523,1.142,1.481,1.42,1.619,1.522,3.067,3.129
1774,4.601,4.253,2.323,2.873,2.757,2.76,3.077,1.716,1.679,2.99,4.746,3.919
1775,3.462,3.074,2.061,1.935,2.702,3.259,1.428,2.144,2.209,1.822,4.038,2.215
1776,4.296,3.314,2.943,1.721,1.953,2.055,1.997,3.352,2.028,2.288,3.165,2.541
1777,3.063,4.589,1.817,1.849,2.538,2.177,2.252,1.738,2.436,3.364,2.575,2.923
1778,4.196,2.963,4.162,2.249,1.881,3.947,1.895,1.883,1.927,3.027,2.895,2.548
1779,3.289,5.688,2.7,2.2,1.402,2.235,1.603,1.84,1.514,2.2,2.654,4.091
1780,6.215,4.261,2.51,3.88,4.719,2.891,2.34,2.392,2.031,1.888,2.256,2.658
1781,4.338,6.405,2.188,2.148,1.704,1.524,1.757,1.286,2.536,1.397,2.824,3.229
1782,2.754,3.265,3.926,1.781,1.751,1.571,1.937,1.531,2.003,4.105,4.412,2.479
1783,5.533,2.962,2.02,1.666,1.88,1.252,1.482,1.092,1.621,1.932,2.066,2.598
1784,6.905,4.433,2.608,3.269,2.594,1.587,2.026,3.067,2.515,1.733,2.708,3.284
1785,3.746,3.453,2.499,1.427,1.957,1.945,1.87,1.436,1.311,1.313,2.214,2.31
1786,3.076,2.92,3.002,1.506,1.426,1.508,1.478,2.905,2.928,2.755,2.242,2.573
1787,2.868,2.731,2.841,1.835,2.441,1.689,1.303,1.175,1.589,2.921,2.418,2.215
1788,2.903,3.716,2.817,2.197,1.109,0.902,2.266,1.677,1.134,1.604,1.841,3.72
1789,3.005,2.792,2.986,1.32,1.531,1.409,1.538,1.367,1.122,2.124,1.977,1.948
1790,2.613,2.685,1.649,2.15,1.215,1.574,1.182,1.143,1.512,1.132,1.379,3.696
1791,3.843,2.215,2.049,1.258,1.143,1.048,1.144,0.84,1.179,1.146,1.856,1.747
